"X.EMPTY.","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA.","osoite_paikkakunta","lat","lon"
714,"Aktia pankki","Lauttasaarentie 39",200,"Helsinki","Lauttasaari",NA,"Pankit","Lauttasaarentie 39,Helsinki","60.1607854","24.8782333"
715,"Aktia pankki","Raumantie 1",350,"Helsinki","Munkkivuori",NA,"Pankit","Raumantie 1,Helsinki","60.2060944","24.8782475"
716,"Aktia pankki","Sandelsinkatu 6",260,"Helsinki","Taka-Töölö",NA,"Pankit","Sandelsinkatu 6,Helsinki","60.1787223","24.9233204"
720,"Aktia pankki","Promenadiaukio 1",2700,"Kauniainen"," ",NA,"Pankit","Promenadiaukio 1,Kauniainen",NA,NA
753,"Aktia pankki","Kilterinraitti 6",1600,"Vantaa","Myyrmäki",NA,"Pankit","Kilterinraitti 6,Vantaa","60.2612131","24.8539462"
754,"Aktia pankki","Asematie 2",1300,"Vantaa","Tikkurila",NA,"Pankit","Asematie 2,Vantaa","60.2933366","25.0380468"
755,"Aktia Yrityspankki","Mechelininkatu 1 A",180,"Helsinki","Kamppi",NA,"Pankit","Mechelininkatu 1 A,Helsinki","60.1712952","24.9202311"
756,"Akvaario Arena","Helsinginkatu 14",500,"Helsinki","Harju",NA,"Eläinkaupat","Helsinginkatu 14,Helsinki","60.1828314","24.9308717"
757,"Akvaario Kurki","Unikkotie 2",1300,"Vantaa","Tikkurila",NA,"Eläinkaupat","Unikkotie 2,Vantaa","60.29159065","25.0402625"
758,"Akvaarioliike Leppävaario","Timpurinkuja 2",2650,"Espoo","Pohjois-Leppävaara",NA,"Eläinkaupat","Timpurinkuja 2,Espoo","60.2220088","24.8135062"
769,"Aleksi 13","Piispansilta 9",2230,"Espoo","Matinkylä",NA,"Vaatekaupat","Piispansilta 9,Espoo","60.1622684","24.7387191"
770,"Aleksi 13","Leppävaarankatu 3-9",2600,"Espoo","Etelä-Leppävaara",NA,"Vaatekaupat","Leppävaarankatu 3-9,Espoo","60.2188216","24.8128941"
772,"Aleksi 13","Aleksanterinkatu 13",100,"Helsinki","Kluuvi",NA,"Vaatekaupat","Aleksanterinkatu 13,Helsinki","60.1690173","24.94617"
773,"Aleksi 13","Kantelettarentie 1",420,"Helsinki","Kannelmäki",NA,"Vaatekaupat","Kantelettarentie 1,Helsinki","60.2373166","24.8908148"
794,"Aleksi 13","Asematie 4-10",1300,"Vantaa","Tikkurila",NA,"Vaatekaupat","Asematie 4-10,Vantaa","60.2920259","25.0420625"
795,"Aleksi 13","Vantaanportinkatu 3",1510,"Vantaa","Pakkala",NA,"Vaatekaupat","Vantaanportinkatu 3,Vantaa","60.2925143","24.9619895"
796,"Alepa","Karakalliontie 10",2620,"Espoo","Karakallio",NA,"Ruokakaupat","Karakalliontie 10,Espoo","60.228754","24.763055"
797,"Alepa","Kirstintie 19-21",2760,"Espoo","Suvela",NA,"Ruokakaupat","Kirstintie 19-21,Espoo","60.2048481","24.6739472"
798,"Alepa","Merivirta 5",2320,"Espoo","Kivenlahti",NA,"Ruokakaupat","Merivirta 5,Espoo","60.1526555","24.6344825"
799,"Alepa","Kirvuntie 22",2140,"Espoo","Pohjois-Laajalahti",NA,"Ruokakaupat","Kirvuntie 22,Espoo","60.2023507","24.8049749"
800,"Alepa","Lansantie 23",2630,"Espoo","Nuijala",NA,"Ruokakaupat","Lansantie 23,Espoo","60.2121168","24.7681174939315"
801,"Alepa","Läkkisepänkuja 3",2600,"Espoo","Pohjois-Leppävaara",NA,"Ruokakaupat","Läkkisepänkuja 3,Espoo","60.2205417","24.8127933"
802,"Alepa","Mankkaanaukio 2",2180,"Espoo","Vanha-Mankkaa",NA,"Ruokakaupat","Mankkaanaukio 2,Espoo","60.19376385","24.7690679097121"
803,"Alepa","Matinkatu 22",2230,"Espoo","Matinkylä",NA,"Ruokakaupat","Matinkatu 22,Espoo","60.15741","24.7396066"
804,"Alepa","Otakaari 11",2150,"Espoo","Otaniemi",NA,"Ruokakaupat","Otakaari 11,Espoo","60.1838688","24.8310938"
805,"Alepa","Soukantie 4",2360,"Espoo","Soukanmäki",NA,"Ruokakaupat","Soukantie 4,Espoo","60.1425578","24.6703404"
806,"Alepa","Sokinsuontie 4",2760,"Espoo","Suvela",NA,"Ruokakaupat","Sokinsuontie 4,Espoo","60.2007097","24.6700876"
807,"Alepa","Kuusiniementie 1",2710,"Espoo","Viherlaakso",NA,"Ruokakaupat","Kuusiniementie 1,Espoo","60.225451","24.7344518"
808,"Alepa","Nihtisilta 4",2630,"Espoo","Nuijala",NA,"Ruokakaupat","Nihtisilta 4,Espoo","60.2072655","24.7505168289474"
809,"Alepa","Linnuntie 2",2660,"Espoo","Lintukorpi",NA,"Ruokakaupat","Linnuntie 2,Espoo","60.2344917","24.8141431"
810,"Alepa","Pakilantie 95",670,"Helsinki","Paloheinä",NA,"Ruokakaupat","Pakilantie 95,Helsinki","60.247993","24.9232439"
811,"Alepa","Kaivokatu 8",100,"Helsinki","Kluuvi",NA,"Ruokakaupat","Kaivokatu 8,Helsinki","60.1700365","24.9415097"
812,"Alepa","Elielinaukio 5",100,"Helsinki","Kluuvi",NA,"Ruokakaupat","Elielinaukio 5,Helsinki","60.172338","24.9399351"
813,"Alepa","Helsinginkatu 18",530,"Helsinki","Harju",NA,"Ruokakaupat","Helsinginkatu 18,Helsinki","60.1867789","24.9526797"
