"tyyppi","lat","lon","osoite","nimi"
"Ruokakaupat","60.2344917","24.8141431","Linnuntie 2,Espoo","Alepa"
"Ruokakaupat","60.247993","24.9232439","Pakilantie 95,Helsinki","Alepa"
"Ruokakaupat","60.1700365","24.9415097","Kaivokatu 8,Helsinki","Alepa"
"Ruokakaupat","60.172338","24.9399351","Elielinaukio 5,Helsinki","Alepa"
"Ruokakaupat","60.1867789","24.9526797","Helsinginkatu 18,Helsinki","Alepa"
"Ruokakaupat","60.1949299","25.0297379","Hiihtomäentie 14,Helsinki","Alepa"
"Ruokakaupat","60.1777972","24.9276191","Pohjoinen Hesperiankatu 5,Helsinki","Alepa"
"Ruokakaupat","60.187065","24.9617547","Hämeentie 25,Helsinki","Alepa"
"Ruokakaupat","60.1617163","24.9370491","Iso Roobertinkatu 21-25,Helsinki","Alepa"
"Ruokakaupat","60.185035","24.9470087","Castreninkatu 9-11,Helsinki","Alepa"
"Ruokakaupat","60.1682062","24.9279085","Salomonkatu 19,Helsinki","Alepa"
"Ruokakaupat","60.2410024","24.8853761","Vanhaistentie 1,Helsinki","Alepa"
"Ruokakaupat","60.16781025","24.9751581308255","Merisotilaantori 1,Helsinki","Alepa"
"Ruokakaupat","60.185057","24.9218182","Mannerheimintie 76,Helsinki","Alepa"
"Ruokakaupat","60.2399229","25.0741278051254","Kontulankaari 8,Helsinki","Alepa"
"Ruokakaupat","60.1709233","24.9594842","Kirkkokatu 2,Helsinki","Alepa"
"Ruokakaupat","60.1860091","25.0116864","Kyösti Kallion tie 2,Helsinki","Alepa"
"Ruokakaupat","60.2087899","24.9463186","Koskelantie 19 B,Helsinki","Alepa"
"Ruokakaupat","60.1801784","25.0529845","Yliskyläntie 3,Helsinki","Alepa"
"Ruokakaupat","60.1672858","24.9411575","Lönnrotinkatu 24,Helsinki","Alepa"
"Ruokakaupat","60.1890333","24.9169815","Mannerheimintie 102,Helsinki","Alepa"
"Ruokakaupat","60.2280914","24.9269269","Metsäpurontie 23,Helsinki","Alepa"
"Ruokakaupat","60.2370758","25.1181987","Korvatunturintie 2,Helsinki","Alepa"
"Ruokakaupat","60.1975987","24.8773211","Munkkiniemen Puistotie 20,Helsinki","Alepa"
"Ruokakaupat","60.198082","24.879799","Solnantie 35,Helsinki","Alepa"
"Ruokakaupat","60.228493","24.9635345","Kylänvanhimmantie 29,Helsinki","Alepa"
"Ruokakaupat","60.1974926","24.9273212","Pasilanraitio 5,Helsinki","Alepa"
"Ruokakaupat","60.1577128","24.9352772","Perämiehenkatu 10,Helsinki","Alepa"
"Ruokakaupat","60.2311749","25.0000022","Salpausseläntie 11,Helsinki","Alepa"
"Ruokakaupat","60.2034572","24.8983071","Mannerheimintie 170,Helsinki","Alepa"
"Ruokakaupat","60.2296041","24.896685","Näyttelijäntie 14,Helsinki","Alepa"
"Ruokakaupat","60.2164973","24.9536458","Pohjolankatu 43,Helsinki","Alepa"
"Ruokakaupat","60.1916202","24.9431934","Porvoonkatu 22,Helsinki","Alepa"
"Ruokakaupat","60.2712678","25.0513468","Puistolanraitti 11,Helsinki","Alepa"
